idade,genero,ds_ensino_medio,ds_ingresso,cd_curso,valor_mensalidade_liquido,qtd_mensalidade_paga_atraso,qtd_semestres_curso,qtd_reprovacoes,coeficiente_rendimento,situacao,evasao,media_acessos_por_dia,semestres_existencia_curso,categoria_motivo_cancelamento,qtd_professores,qtd_professores_mestrado,qtd_professores_doutorado,qtd_professores_especialista,qtd_professores_graduado,qtd_professores_M,qtd_professores_F,idade_media_professores,cluster
40,M,Escola Pública,Segunda Graduação,GES_HOS_EAD,264.06072,5,6,4,0.5,ABANDONO,1,0.0472222222222222,4,Questões Financeiras,19.0,4,2,12,1,3,16,43.8421052631579,1
31,M,Escola Pública,Vestibular,ED.FIS_EAD,98.99898,1,8,1,8.13,CONCLUIDO,0,0.5146198830409356,6,NA,7.0,3,2,1,1,4,3,46.42857142857143,2
31,M,Escola Pública,Vestibular,ED.FIS_EAD,98.99898,1,8,1,8.14,CONCLUIDO,0,0.5146198830409356,6,NA,4.0,2,1,0,1,2,2,46.0,2
28,M,Não informado,Vestibular,ADE_SIS_EAD,280.75019000000003,0,5,0,7.4,TRANCADA,0,0.4164222873900293,2,NA,13.0,4,0,8,1,1,12,43.15384615384615,1
43,M,Não informado,Vestibular,PRO_IND_EAD,280.91602,0,6,0,7.37,CONCLUIDO,0,0.972809667673716,4,NA,19.0,4,2,12,1,3,16,43.8421052631579,1
43,M,Não informado,Vestibular,PRO_IND_EAD,280.91602,4,6,0,7.37,TRANCADA,0,0.972809667673716,4,NA,14.0,2,1,10,1,1,13,46.35714285714285,1
42,F,Não informado,Segunda Graduação,LET_EAD,98.99898,0,8,0,7.8,CONCLUIDO,0,1.4355300859598854,10,NA,10.0,2,2,5,1,2,8,44.0,2
42,F,Não informado,Segunda Graduação,LET_EAD,98.99898,1,8,0,7.8,CONCLUIDO,0,1.4355300859598854,10,NA,2.0,1,0,1,0,0,2,41.5,2
37,F,Escola Pública,Vestibular,PED_EAD,253.2375,0,8,2,8.08,CONCLUIDO,0,0.9027777777777778,13,NA,3.0,1,0,1,1,0,3,43.66666666666666,2
37,F,Escola Pública,Vestibular,PED_EAD,253.2375,0,8,2,8.08,CONCLUIDO,0,0.9027777777777778,13,NA,4.0,2,0,1,1,0,4,43.75,2
30,M,Não informado,Vestibular,BED_FIS_EAD,307.80433,0,8,0,8.47,CONCLUIDO,0,1.7236842105263157,4,NA,11.0,2,0,8,1,1,10,46.45454545454545,4
38,M,Não informado,Vestibular,LOG_EAD,136.23912,1,4,0,8.12,CONCLUIDO,0,2.0630372492836675,4,NA,11.0,0,1,8,2,2,9,43.90909090909091,1
38,M,Não informado,Vestibular,LOG_EAD,136.23912,1,4,0,8.12,CONCLUIDO,0,2.0630372492836675,4,NA,10.0,0,1,8,1,1,9,45.1,1
26,M,Escola Pública,Vestibular,ED.FIS_EAD,307.98614,1,8,1,6.84,CONCLUIDO,0,0.4926253687315634,6,NA,7.0,3,2,1,1,4,3,46.42857142857143,2
26,M,Escola Pública,Vestibular,ED.FIS_EAD,307.98614,3,8,1,6.84,CONCLUIDO,0,0.4926253687315634,6,NA,4.0,2,1,0,1,2,2,46.0,2
35,F,Não informado,Vestibular,REC_HUM_EAD,264.37248,5,4,4,0.18,ABANDONO,1,0.0056338028169014,4,Questões Financeiras,18.0,4,2,11,1,3,15,43.61111111111112,1
37,M,Não informado,Segunda Graduação,ED.FIS_EAD,336.5531291968842,1,8,0,7.97,CONCLUIDO,0,0.3052325581395348,6,NA,7.0,3,2,1,1,4,3,46.42857142857143,2
37,M,Não informado,Segunda Graduação,ED.FIS_EAD,336.5531291968842,2,8,0,7.97,CONCLUIDO,0,0.3052325581395348,6,NA,4.0,2,1,0,1,2,2,46.0,2
26,M,Escola Pública,Segunda Graduação,ED.FIS_EAD,285.820725,0,8,1,8.52,CONCLUIDO,0,0.4027777777777778,6,NA,7.0,3,2,1,1,4,3,46.42857142857143,2
26,M,Escola Pública,Segunda Graduação,ED.FIS_EAD,285.820725,0,8,1,8.52,CONCLUIDO,0,0.4027777777777778,6,NA,4.0,2,1,0,1,2,2,46.0,2
53,F,Não informado,Vestibular,PED_EAD,285.820725,0,8,1,8.35,CONCLUIDO,0,2.1019283746556474,13,NA,8.0,4,1,3,0,2,6,44.625,2
53,F,Não informado,Vestibular,PED_EAD,285.820725,0,8,1,8.35,CONCLUIDO,0,2.1019283746556474,13,NA,4.0,2,0,2,0,0,4,43.25,2
28,M,Não informado,Segunda Graduação,ED.FIS_EAD,307.98614,0,8,0,8.32,CONCLUIDO,0,0.752,6,NA,7.0,3,2,1,1,4,3,46.42857142857143,2
28,M,Não informado,Segunda Graduação,ED.FIS_EAD,307.98614,0,8,0,8.32,CONCLUIDO,0,0.752,6,NA,4.0,2,1,0,1,2,2,46.0,2
31,F,Escola Pública,Reingresso,PROC_GERE,297.0,0,4,4,5.32,CONCLUIDO,0,3.0258620689655173,14,NA,13.0,2,2,8,1,4,9,41.0,1
33,F,Escola Pública,Vestibular,PED_EAD,256.9975,2,8,7,7.25,CONCLUIDO,0,0.6916666666666667,13,NA,16.0,4,2,8,2,1,15,45.125,4
33,F,Escola Pública,Vestibular,PED_EAD,256.9975,4,8,7,7.25,CONCLUIDO,0,0.6916666666666667,13,NA,15.0,5,1,8,1,0,15,42.13333333333333,4
30,F,Não informado,Vestibular,GES_REC_HUM,98.9995,5,4,0,7.79,CONCLUIDO,0,0.6039325842696629,13,NA,17.0,4,2,11,0,3,14,42.64705882352941,1
41,F,Escola Pública,Vestibular,SER_SOC_EAD,307.98614,0,8,0,7.62,CONCLUIDO,0,1.1546961325966851,4,NA,16.0,8,0,7,1,0,16,41.5625,4
41,F,Escola Pública,Vestibular,SER_SOC_EAD,307.98614,0,8,0,7.62,CONCLUIDO,0,1.1546961325966851,4,NA,11.0,3,0,7,1,0,11,43.54545454545455,4
46,F,Não informado,Segunda Graduação,GES_HOS_EAD,264.06072,0,6,1,5.4,CONCLUIDO,0,0.5043478260869565,4,NA,10.0,2,1,5,2,1,9,45.6,0
46,F,Não informado,Segunda Graduação,GES_HOS_EAD,264.06072,3,6,1,5.4,TRANCADA,0,0.5043478260869565,4,NA,8.0,1,1,5,1,0,8,45.375,0
28,F,Não informado,Reingresso,LED_FIS_EAD,307.98614,0,8,0,8.8,CONCLUIDO,0,0.3184931506849315,4,NA,15.0,5,1,7,2,3,12,46.8,3
28,F,Não informado,Reingresso,LED_FIS_EAD,307.98614,0,8,0,8.8,TRANCADA,0,0.3184931506849315,4,NA,10.0,2,0,7,1,1,9,47.4,4
27,M,Não informado,Vestibular,GESFIN_EAD,264.06072,0,4,1,4.4,TRANCADA,0,0.4605263157894737,8,NA,15.0,2,2,10,1,1,14,46.0,1
21,M,Não informado,Transferência,BED_FIS_EAD,363.62,3,8,0,8.12,CONCLUIDO,0,1.1412429378531073,4,NA,14.0,4,1,8,1,3,11,45.21428571428572,3
21,M,Não informado,Transferência,BED_FIS_EAD,363.62,4,8,0,8.13,CONCLUIDO,0,1.1412429378531073,4,NA,10.0,2,0,8,0,1,9,45.1,0
42,F,Escola Pública,Segunda Graduação,HIST_EAD,307.80433,0,8,0,7.83,CONCLUIDO,0,2.9696969696969697,10,NA,2.0,1,0,1,0,0,2,39.5,2
42,F,Escola Pública,Segunda Graduação,HIST_EAD,307.80433,0,8,0,7.83,CONCLUIDO,0,2.9696969696969697,10,NA,2.0,2,0,0,0,0,2,44.0,2
39,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,336.5531291968842,2,8,3,3.87,TRANCADA,0,0.5317725752508361,10,NA,1.0,1,0,0,0,0,1,44.0,2
32,F,Não informado,Vestibular,LET_EAD,151.18,0,8,1,8.62,CONCLUIDO,0,0.0541310541310541,10,NA,10.0,4,1,5,0,0,10,42.0,2
31,F,Não informado,Vestibular,BED_FIS_EAD,307.80433,1,8,5,0.48,TRANCADA,0,0.2636363636363636,4,NA,11.0,2,0,8,1,1,10,46.45454545454545,0
24,F,Não informado,Vestibular,PED_EAD,257.00600000000003,0,8,1,8.76,CONCLUIDO,0,0.0413223140495867,13,NA,15.0,5,1,8,1,0,15,42.13333333333333,4
25,M,Escola Privada,Reingresso,PROC_GERE,227.001,0,4,7,5.28,CONCLUIDO,0,0.6011730205278593,14,NA,13.0,2,2,8,1,4,9,41.0,1
25,M,Escola Privada,Reingresso,PROC_GERE,227.001,0,4,7,5.28,CONCLUIDO,0,0.6011730205278593,14,NA,9.0,2,1,6,0,1,8,44.66666666666666,2
47,F,Não informado,Vestibular,EDU.ESP_EAD,151.18,2,8,0,9.4,CONCLUIDO,0,0.9030470914127424,10,NA,13.0,5,1,6,1,0,13,42.46153846153846,4
47,F,Não informado,Vestibular,EDU.ESP_EAD,151.18,3,8,0,9.4,CONCLUIDO,0,0.9030470914127424,10,NA,9.0,2,0,6,1,0,9,47.0,2
39,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.549796,0,8,0,8.62,CONCLUIDO,0,0.4129213483146067,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
52,F,Não informado,Segunda Graduação,EDU.ESP_EAD,307.549796,0,8,0,7.47,CONCLUIDO,0,1.7912087912087913,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
31,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.549796,0,8,0,8.16,CONCLUIDO,0,0.4555555555555555,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
30,F,Escola Pública,Reingresso,PED_EAD,256.9975,7,8,0,7.88,CONCLUIDO,0,0.7700831024930748,13,NA,8.0,4,1,3,0,2,6,44.625,2
