cd_aluno,cd_curso,dt_saida,ds_motivo
354480,GES_HOS_EAD,2022-11-10,Outros
183871,EDU_ESP_EAD,2022-11-18,Outros
354480,GES_HOS_EAD,2022-11-22,Outros
357870,LIC_PED_EAD,2022-11-30,Outros
361079,LIC_PED_EAD,2022-12-08,Outros
357900,LIC_PED_EAD,2022-12-09,Outros
188687,LIC_PED_EAD,2022-12-15,Outros
347424,LIC_PED_EAD,2022-12-15,Outros
358973,LED_FIS_EAD,2022-12-19,Outros
358973,BED_FIS_EAD,2022-12-19,Razões Particulares
347424,LIC_PED_EAD,2022-12-20,Outros
355443,EST_COS_EAD,2022-12-20,Outros
353416,GES_MAR_EAD,2022-12-21,Outros
360404,EDU_ESP_EAD,2022-12-21,Outros
196329,SER_SOC_EAD,2022-12-22,Outros
339758,GES_MAR_EAD,2022-12-22,Razões Particulares
300819,ADM_EAD,2022-12-22,Razões Particulares
362920,ADM_EAD,2022-12-22,Outros
362920,BED_FIS_EAD,2022-12-22,Outros
256810,ADM_EAD,2022-12-23,Razões financeiras
325536,GES_PUB_EAD,2022-12-23,Outros
325536,GES_PUB_EAD,2022-12-23,Outros
325536,GES_PUB_EAD,2022-12-23,Outros
228980,GES_PUB_EAD,2022-12-23,Outros
238374,GES_COM_EAD,2022-12-23,Razões financeiras
343119,LIC_PED_EAD,2022-12-23,Doença
348650,GES_PUB_EAD,2022-12-23,Outros
300819,ADM_EAD,2022-12-23,Outros
336376,MAT_EAD,2022-12-23,Razões financeiras
361567,LIC_PED_EAD,2023-01-02,Razões financeiras
295098,BED_FIS_EAD,2023-01-03,Outros
276225,PED_EAD,2023-01-03,Razões profissionais
343092,LIC_LET_EAD,2023-01-03,Razões financeiras
278716,ADM_EAD,2023-01-03,Razões financeiras
1790000427,HIST_EAD,2023-01-03,Mudança de curso
343860,GES_COM_EAD,2023-01-03,Razões Particulares
357730,LIC_PED_EAD,2023-01-03,Outros
351952,LIC_PED_EAD,2023-01-04,Razões Particulares
365422,BED_FIS_EAD,2023-01-06,Outros
326036,EDU_ESP_EAD,2023-01-06,Venda com Inconsistência
362083,ADM_EAD,2023-01-09,Outros
357721,LIC_PED_EAD,2023-01-09,Outros
309530,LIC_PED_EAD,2023-01-09,Razões Particulares
357697,LIC_PED_EAD,2023-01-09,Outros
186862,PED_EAD,2023-01-09,Outros
189756,PED_EAD,2023-01-09,Razões financeiras
329043,LIC_PED_EAD,2023-01-09,Razões financeiras
353009,GESFIN_EAD,2023-01-09,Razões financeiras
365252,PRO_IND_EAD,2023-01-10,Outros
361508,EMP_EAD,2023-01-10,Razões Particulares
349090,CIC_EAD,2023-01-10,Outros
265266,CIC_EAD,2023-01-11,Outros
319510,PRO_IND_EAD,2023-01-11,Outros
319153,PRO_GER_EAD,2023-01-11,Outros
281628,PED_EAD,2023-01-11,Mudança de curso
360080,BED_FIS_EAD,2023-01-12,Outros
281610,PED_EAD,2023-01-12,Mudança de curso
214195,LET_EAD,2023-01-12,Outros
179700,ED.FIS_EAD,2023-01-12,Outros
363829,REC_HUM_EAD,2023-01-12,Outros
354072,REC_HUM_EAD,2023-01-12,Outros
246555,ADM_EAD,2023-01-12,Razões Particulares
353688,GES_AGR_EAD,2023-01-12,Outros
343491,SAU_PUB_EAD,2023-01-12,Outros
304385,GESFIN_EAD,2023-01-12,Razões financeiras
298776,PED_EAD,2023-01-13,Inscrição não confirmada
298776,PED_EAD,2023-01-13,Outros
353165,LIC_PED_EAD,2023-01-13,Razões financeiras
303010,REC_HUM_EAD,2023-01-13,Outros
350692,GES_HOS_EAD,2023-01-13,Outros
207584,LIC_PED_EAD,2023-01-13,Doença
262348,PED_EAD,2023-01-13,Mudança de curso
318610,PRO_IND_EAD,2023-01-13,Outros
186862,PED_EAD,2023-01-16,Outros
228897,PED_EAD,2023-01-16,Outros
206901,PED_EAD,2023-01-16,Outros
206901,PED_EAD,2023-01-16,Outros
